# Title : in-situ platforms catalog
# Description : catalog of available MED in-situ platforms
# Project : Copernicus (generated by Hellenic Centre for Marine Research-GREECE)
# Format version : 1.0
# Date of update : 20200330051707
# platform_code,creation_date,update_date,wmo_platform_code,data_source,institution,institution_edmo_code,parameter,last_latitude_observation,last_longitude_observation,last_date_observation
1200520,2020-03-08T17:13:23Z,2020-03-08T17:13:23Z,1200520,MO_TS_DC_1200520,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,38.624153,8.469816,2003-08-24T21:00:00Z
1200527,2020-03-08T17:13:24Z,2020-03-08T17:13:24Z,1200527,MO_TS_DC_1200527,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,31.317877,29.986048,2003-10-14T00:00:00Z
1200529,2020-03-08T17:13:25Z,2020-03-08T17:13:25Z,1200529,MO_TS_DC_1200529,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,33.13577,35.03129,2003-03-01T12:00:00Z
1200530,2020-03-08T17:13:26Z,2020-03-08T17:13:26Z,1200530,MO_TS_DC_1200530,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,31.960194,29.488262,2003-07-28T12:00:00Z
12506,2019-05-12T05:44:26Z,2019-05-12T05:44:26Z,12506,GL_TS_DB_12506,Naval Oceanographic Office (NAVO),3577, DEPH TEMP ATMP ATPT ATMS,27.347,35.72,2005-03-07T19:00:00Z
125677,2020-03-08T17:13:27Z,2020-03-08T17:13:27Z, ,MO_TS_DC_125677,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,31.508625,26.517046,1991-06-26T12:00:00Z
125725,2020-03-08T17:13:28Z,2020-03-08T17:13:28Z, ,MO_TS_DC_125725,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,43.410397,10.012935,2014-05-24T09:00:00Z
12582,2020-03-08T17:13:29Z,2020-03-08T17:13:29Z, ,MO_TS_DC_12582,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,42.690125,4.0294724,2010-10-15T09:00:00Z
12583,2020-03-08T17:13:30Z,2020-03-08T17:13:30Z, ,MO_TS_DC_12583,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,39.36911,17.3448,2011-10-05T03:00:00Z
12584,2020-03-08T17:13:31Z,2020-03-08T17:13:31Z, ,MO_TS_DC_12584,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,43.6844,7.345198,2007-07-06T21:00:00Z
12585,2020-03-08T17:13:32Z,2020-03-08T17:13:32Z, ,MO_TS_DC_12585,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,40.933098,17.87402,2003-02-05T00:00:00Z
12586,2020-03-08T17:13:33Z,2020-03-08T17:13:33Z, ,MO_TS_DC_12586,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,45.62845,13.667145,2003-07-06T03:00:00Z
12587,2020-03-08T17:13:34Z,2020-03-08T17:13:34Z, ,MO_TS_DC_12587,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,39.962814,17.731014,2011-10-05T00:00:00Z
12588,2020-03-08T17:13:35Z,2020-03-08T17:13:35Z, ,MO_TS_DC_12588,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,43.702423,13.480242,2003-09-16T12:00:00Z
12591,2020-03-08T17:13:36Z,2020-03-08T17:13:36Z, ,MO_TS_DC_12591,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,43.08318,6.064506,2007-10-08T12:00:00Z
1300523,2020-03-08T17:13:37Z,2020-03-08T17:13:37Z,1300523,MO_TS_DC_1300523,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,31.638262,26.050432,2007-06-02T00:00:00Z
1300566,2019-07-08T10:07:48Z,2019-07-08T10:07:48Z,1300566,MO_TS_DC_1300566_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,39.916294,2.9903302,2016-01-10T03:00:00Z
1300574,2019-05-10T11:51:02Z,2019-05-10T11:51:02Z,1300574,GL_TS_DB_1300574_YYYYMM,Unknown institution, , DEPH TEMP,36.73518,3.70498,2016-03-22T09:59:00Z
1300574,2019-07-08T10:07:51Z,2019-07-08T10:07:51Z,1300574,MO_TS_DC_1300574_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,36.892494,3.654123,2016-03-17T06:00:00Z
1300586,2019-07-08T10:07:48Z,2019-07-08T10:07:48Z,1300586,MO_TS_DC_1300586_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.50276,5.56965,2016-01-16T00:00:00Z
1300609,2020-01-31T12:37:41Z,2020-01-31T12:37:41Z,1300609,GL_TS_DB_1300609_YYYYMM,Unknown institution, , DEPH TEMP,39.0837,1.41844,2018-02-20T20:00:00Z
1300610,2019-05-10T12:07:59Z,2019-05-10T12:07:59Z,1300610,GL_TS_DB_1300610_YYYYMM,Unknown institution, , DEPH TEMP,35.71942,-0.62499,2017-12-31T17:00:00Z
1300904,2020-03-08T17:13:42Z,2020-03-08T17:13:42Z,1300904,MO_TS_DC_1300904,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.566616,-1.0366884,2014-07-23T21:00:00Z
1300905,2019-05-10T12:33:40Z,2019-05-10T12:33:40Z,1300905,GL_TS_DB_1300905_YYYYMM,Atlantic Oceanographic and Meteorological Laboratory (AOML)  National Oceanic and Atmospheric Administration (NOAA),1799, DEPH TEMP,32.35792,15.21796,2016-08-16T17:00:00Z
1300905,2019-07-08T10:07:55Z,2019-07-08T10:07:55Z,1300905,MO_TS_DC_1300905_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,32.2973,15.403493,2016-08-04T06:00:00Z
1300906,2020-03-08T17:13:45Z,2020-03-08T17:13:45Z,1300906,MO_TS_DC_1300906,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,41.15023,1.5680643,2014-11-03T21:00:00Z
